ordre id_c id_t nb_occurrence taux_recouvrement recouvrement certificat
6 4 129 6 2.25 '11333522224020110022 '00000000000000140000000000000008000000000000001000000000000000a000000000000000440000000000000088
6 14 130 6 2.4 '11331542024220220020 '00000000000000140000000000000008000000000000001000000000000000a800000000000000500000000000000080
6 86 131 6 2.769230769230769 '02130460004331210042 '000000000000004000000000000000b00000000000000048000000000000004400000000000000200000000000000010
6 1 132 7 2.3333333333333335 '33114233321232142200 '000000000000002000000000000000100000000000000088000000000000004400000000000000240000000000000018
6 37 133 7 2.3333333333333335 '32114233321332142200 '000000000000004000000000000000a80000000000000040000000000000000400000000000000440000000000000018
6 54 134 7 2.3333333333333335 '11324233321332142200 '000000000000004000000000000000a00000000000000044000000000000000800000000000000140000000000000028
6 41 135 7 2.4705882352941178 '33014233321332142200 '000000000000004000000000000000880000000000000014000000000000002000000000000000440000000000000028
6 42 136 8 2.6666666666666665 '33115252411442242200 '000000000000006000000000000000840000000000000080000000000000000800000000000000140000000000000048
6 7 137 9 2.8421052631578947 '44553435234311211120 '000000000000000800000000000000300000000000000040000000000000004800000000000000940000000000000008
6 8 138 9 2.8421052631578947 '44553432444311211120 '000000000000000800000000000000300000000000000040000000000000004c00000000000000900000000000000010
6 33 139 9 3.0 '22233445233322320540 '000000000000006000000000000000900000000000000084000000000000004800000000000000100000000000000020
6 31 140 9 3.176470588235294 '24303442443322324050 '000000000000006000000000000000940000000000000088000000000000004000000000000000200000000000000040
6 48 141 10 3.0 '43213522233334253442 '000000000000004000000000000000a80000000000000050000000000000002000000000000000440000000000000008
6 49 142 10 3.0 '33313532233534243341 '000000000000004000000000000000a40000000000000050000000000000002800000000000000100000000000000040
6 6 143 10 3.1578947368421053 '44663544344311111230 '000000000000000800000000000000300000000000000044000000000000004800000000000000900000000000000020
6 11 144 11 3.3 '55663332234252342222 '00000000000000100000000000000020000000000000005400000000000000a000000000000000040000000000000028
6 28 145 11 3.3 '21354546245352342222 '000000000000006000000000000000900000000000000080000000000000004800000000000000140000000000000008
6 32 146 11 3.3 '34314442555452342222 '000000000000006000000000000000980000000000000080000000000000004000000000000000440000000000000008
6 23 147 11 3.473684210526316 '23426745567411211230 '0000000000000060000000000000008c0000000000000090000000000000002000000000000000400000000000000040
6 24 148 11 3.473684210526316 '21355746657411222120 '000000000000006000000000000000880000000000000090000000000000002400000000000000400000000000000010
6 25 149 11 3.473684210526316 '162116101636361321061 '0000000000000060000000000000008c0000000000000080000000000000000800000000000000500000000000000040
6 29 150 12 3.6 '34324655444443242333 '000000000000006000000000000000900000000000000088000000000000004000000000000000240000000000000008
6 52 151 13 3.9 '32441961218592584121 '000000000000004000000000000000a00000000000000050000000000000002800000000000000140000000000000008
6 22 152 15 4.5 '45415782664543456173 '000000000000006000000000000000840000000000000088000000000000000800000000000000300000000000000040
