ordre id_c id_t nb_occurrence taux_recouvrement recouvrement taux_occupation certificat
5 51 26 1 1.0 '0000100100000000000000010000000000101 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000010080000000000000007000000000000e4000000000000000ae0
5 53 27 1 1.0 '0000100100001000000010000000010000000 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081000000000000080030000000000004600000000000000080c00000000000010e0
5 54 28 1 1.0 '0000100100001000000001000000010000000 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000081000000000000080030000000000005400000000000000080c00000000000010e0
5 55 29 1 1.0 '0000100100101100000000000000000000000 '0.13513512909412384 '0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008100000000000008020000000000000080c0000000000000803000000000000b0c0
5 56 30 1 1.0 '0000100100000000000010000100010000000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000801000000000000021000000000000000e0000000000000e400000000000000040e
5 57 31 1 1.0 '0000100100000000000010000000010001000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000802000000000000010100000000000000e0000000000000e400000000000000021c
5 58 32 1 1.0 '0000100100000000000011000000010000000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000802000000000000020100000000000000e0000000000000e400000000000000021c
5 59 33 1 1.0 '0000100100000000000001000100010000000 '0.13513512909412384 '000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000401000000000000100200000000000000e0000000000000e400000000000000021c
5 61 34 1 1.0 '0000100000000000000000011000000000101 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002000000000000c0010000000000003a00000000000000011c00000000000005e0
5 62 35 1 1.0 '0000100010000000000000011000000000100 '0.13513512909412384 '00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001000000000000002080000000000000007000000000000e40000000000000014e0
